trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.25499999999999956}",20,9,-32.61397971335708,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.24999999999999956}",20,0,-74.33680572135647,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
111,False,"{'a': 0.5, 'e': 0.24499999999999955}",30,19,2.0361701582087584,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.23999999999999955}",20,15,1.4547953891352272,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.23499999999999954}",20,9,-6.823499789909704e-05,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.22999999999999954}",25,1,-49.77319520823336,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.22499999999999953}",25,14,19.975042158028717,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.21999999999999953}",20,13,-8.921154482397547,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.21499999999999952}",30,0,-58.4089575443411,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.20999999999999952}",30,13,14.782717728698419,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.20499999999999952}",20,0,-27.000894797598708,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.1999999999999995}",20,11,13.251397236520349,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.1949999999999995}",20,9,-8.174534594895913,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.1899999999999995}",20,7,17.703346375830176,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.1849999999999995}",20,12,-7.948391840187098,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.1799999999999995}",20,13,9.902543662876276,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.1749999999999995}",20,0,-33.23890457860996,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.16999999999999948}",20,9,19.937120342299657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.16499999999999948}",20,0,15.92656259530069,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.15999999999999948}",20,4,23.057542219174472,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.15499999999999947}",30,13,-24.897782391341757,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.14999999999999947}",25,13,0.7077366055416832,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.14499999999999946}",25,14,21.692048502638144,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.13999999999999946}",30,7,13.965639104864623,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.13499999999999945}",30,20,10.27685627889391,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.12999999999999945}",25,8,27.932017517263233,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.12499999999999944}",30,8,-24.8807835646901,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.11999999999999944}",30,0,-8.13123573482041,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.11499999999999944}",20,7,21.039522276793715,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.10999999999999943}",20,11,15.317195774188367,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.10499999999999943}",25,18,-1.0580415122052504,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.09999999999999942}",25,16,12.320944070872931,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.09499999999999942}",25,3,14.960990247106894,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.08999999999999941}",25,3,12.411798640475912,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.08499999999999941}",20,6,8.921978230655222,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.0799999999999994}",25,8,24.37143959732556,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.0749999999999994}",20,3,-19.640688381322683,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.0699999999999994}",20,9,18.678210568871254,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.06499999999999939}",20,0,33.284217873265504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.059999999999999394}",25,2,15.459998174920845,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.0549999999999994}",25,7,29.27262539425995,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.0499999999999994}",30,0,52.03220637746802,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-4.396023096007108,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,14,-39.32373847652503,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,36.56493852448118,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,9,15.612048496808356,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,18,12.000981598411078,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,1,3.1531824236114034,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,30.037049117655833,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,15,20.074165427995876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,11,11.903165792528936,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
